Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,63200
South Africa,ZAF,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,65475
South Africa,ZAF,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,67750
South Africa,ZAF,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,70025
South Africa,ZAF,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,72300
South Africa,ZAF,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,75500
South Africa,ZAF,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,88000
South Africa,ZAF,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,100000
South Africa,ZAF,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,115000
South Africa,ZAF,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,130193
South Africa,ZAF,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,125885
South Africa,ZAF,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,121000
South Africa,ZAF,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,131000
South Africa,ZAF,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,140000
South Africa,ZAF,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,145000
South Africa,ZAF,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,150000
South Africa,ZAF,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,155000
South Africa,ZAF,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,160000
South Africa,ZAF,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,169000
South Africa,ZAF,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,169500
South Africa,ZAF,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,170000
South Africa,ZAF,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,170669
South Africa,ZAF,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,173000
South Africa,ZAF,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,175557
South Africa,ZAF,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,172725
South Africa,ZAF,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,173960
South Africa,ZAF,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,173133
South Africa,ZAF,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,173400
South Africa,ZAF,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,173570
South Africa,ZAF,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,167981
South Africa,ZAF,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,166305
South Africa,ZAF,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,164149
South Africa,ZAF,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,161052
South Africa,ZAF,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,157127
South Africa,ZAF,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,156000
South Africa,ZAF,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,152000
South Africa,ZAF,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,147884
South Africa,ZAF,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,145936
South Africa,ZAF,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,142000
South Africa,ZAF,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,138422
South Africa,ZAF,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,133552
South Africa,ZAF,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,130000
South Africa,ZAF,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,126923
South Africa,ZAF,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,122218
South Africa,ZAF,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,191.384074353178
South Africa,ZAF,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,191.384074353178
South Africa,ZAF,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,191.384074353178
South Africa,ZAF,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,237.990196078431
South Africa,ZAF,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,203.555555555556
South Africa,ZAF,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,238.459099556119
South Africa,ZAF,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,184.784622510421
South Africa,ZAF,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,235.739231664726
South Africa,ZAF,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,158.041060735672
